Organization Name,Status,Custom Status,Organization Class,AxisCare Organization ID,Address1,Address2,City,Created By,Created In AxisCare,Email,Fax,Mailing/Billing Address,Mailing/Billing Address (line 1),Mailing/Billing Address (line 2),Mailing/Billing City,Mailing/Billing State,Mailing/Billing Zip Code,Marketing Notes,Mobile Phone,Office Phone,Organization Notes,State,Zip Code
Atlas Physical Therapy and Sports Medicine,Active,Active,Rehabilitation  / PT Facilites,37,12421 San Jose Blvd. #100,,Jacksonville,,11/18/2024,,," 12421 San Jose Blvd. #100,   Jacksonville, FL  32223",12421 San Jose Blvd. #100,,Jacksonville,FL,32223,,,904-292-0195,atlasphysicaltherapy.com,FL,32223
Augustine Landing,Active,Active,Indp. Living Facility,93,10141 Old Saint Augustine Rd.,,Jacksonville,,7/8/2025,,," 10141 Old Saint Augustine Rd.,   Jacksonville , FL  32257",10141 Old Saint Augustine Rd.,,Jacksonville,FL,32257,,,904-569-6566,,FL,32257
Avante,Active,Active,"Assisted Living Facility, Hospice Agency, Nursing Home Facilities, Rehabilitation  / PT Facilites, Mental Health / Cognitive Care Facilities",56,1504 Seabreeze Ave.,,Jacksonville,,6/10/2025,info@avantecenters.com,,,,,,,,,,904-222-6675,,FL,32250
Axiom Health Management,Active,Active,Skilled Service Providers,129,,,,,3/17/2026,,800-688-2049,,,,,,,,,330-680-1401,In home lymphatic disease management,,
Baptist Medical Center,Active,,Hospital,101,,,,"Jennifer BoisClaire, RN",2/13/2026,,,,,,,,,,,,,,
Baptist Primary Care- Nocatee,Active,Active,Clinic,110,400 Colonnade Dr,,Ponte Vedra Beach,,3/5/2026,,," 400 Colonnade Dr,   Ponte Vedra Beach, FL  32081",400 Colonnade Dr,,Ponte Vedra Beach,FL,32081,,,,,FL,32081
Baptist Rehabilitation - Jacksonville,Active,Active,Rehabilitation  / PT Facilites,30,1235 San Marco Blvd.,3rd Floor,Jacksonville,,11/18/2024,,," 1235 San Marco Blvd.,  3rd Floor,  Jacksonville, FL  32207",1235 San Marco Blvd.,3rd Floor,Jacksonville,FL,32207,,,904-202-9712,baptistjax.com/rehab,FL,32207
Bartram Lakes- Brooks Rebabilitation,Active,Active,"Assisted Living Facility, Nursing Home Facilities, Mental Health / Cognitive Care Facilities",52,6209 Brooks Bartram Dr. #200,,Jacksonville,,6/10/2025,Bartram.inquiry@brooksrehab.org,904-528-3512," 6209 Brooks Bartram Dr. #200,   Jacksonville, FL  32258",6209 Brooks Bartram Dr. #200,,Jacksonville,FL,32258,,,904-528-3500,,FL,32258
BayView Assisted Living at the Pavilion,Active,Active,Assisted Living Facility,96,161 Marine St.,,Saint Augustine,,7/8/2025,,," 161 Marine St. ,   Saint Augustine , FL  32084",161 Marine St.,,Saint Augustine,FL,32084,,,,,FL,32084
Beach House Senior living,Active,Active,"Assisted Living Facility, Mental Health / Cognitive Care Facilities",57,1315 2nd Ave. North,,Jacksonville Beach,,6/10/2025,,," 1315 2nd Ave. North,   Jacksonville Beach , FL  32250",1315 2nd Ave. North,,Jacksonville Beach,FL,32250,,,904-829-6479,,FL,32250
Beaches Council on Aging,Active,Active,Senior Advocacy Agencies,131,,,,,3/17/2026,,,,,,,,,,,904-246-1477,,,
Berg & Bryant Edler Law Group,Active,Active,Elder Care Law Firm,145,7545 Centurion Parkway,suite 108,Jacksonville,,3/17/2026,,,,,,,,,,,,,FL,32256
Blue Bird Pharmacy,Active,Active,Pharmacy,134,145 Hiden Rd,Suite 102,Ponte Vedra,,3/17/2026,,904-484-7919," 145 Hiden Rd,  Suite 102,  Ponte Vedra, FL  32081",145 Hiden Rd,Suite 102,Ponte Vedra,FL,32081,,,904-600-4099,,FL,32081
Brandon Place at Moosehaven,Active,Active,Retirement Facilities (CCRCs),8,1701 Park Avenue,,Orange Park,,11/13/2024,,," 1701 Park Avenue,   Orange Park, FL  32073",1701 Park Avenue,,Orange Park,FL,32073,,,904-278-1200,,FL,32073
Brookdale Atrium Way,Active,Active,"Assisted Living Facility, Indp. Living Facility, Retirement Facilities (CCRCs)",10,9960 Atrium Way,,Jacksonville,,11/13/2024,,," 9960 Atrium Way,   Jacksonville, FL  32225",9960 Atrium Way,,Jacksonville,FL,32225,,,904-724-4726,,FL,32225
Brookdale Avondale,Active,Active,Assisted Living Facility,148,4455 Merrimac Ave,,Jacksonville,,3/19/2026,,9043893874," 4455 Merrimac Ave,   Jacksonville, FL  32210",4455 Merrimac Ave,,Jacksonville,FL,32210,,,9043895959,,FL,32210
Brookdale Crown Point,Active,Active,Mental Health / Cognitive Care Facilities,51,10050 Old Saint Augustine Road,,Jacksonville,,6/10/2025,,," 10050 Old Saint Augustine Road,   Jacksonville, FL  32257",10050 Old Saint Augustine Road,,Jacksonville,FL,32257,,,904-946-4279,,FL,32257
Brookdale Mandarin,Active,Active,"Assisted Living Facility, Indp. Living Facility",48,10790 Old St. Augustine Road,,Jacksonville,,6/10/2025,,," 10790 Old St. Augustine Road,   Jacksonville, FL  32257",10790 Old St. Augustine Road,,Jacksonville,FL,32257,,,904-946-5611,,FL,32257
Brookdale Mandarin Central,Active,Active,Mental Health / Cognitive Care Facilities,50,10875 Old Saint Augustine Road,,Jacksonville,,6/10/2025,,," 10875 Old Saint Augustine Road,   Jacksonville , FL  32257",10875 Old Saint Augustine Road,,Jacksonville,FL,32257,,,904-946-8903,,FL,32257
Brookdale Southpoint,Active,Active,Assisted Living Facility,104,6895 Belfort Oaks Place,,Jacksonville,,3/4/2026,,,,,,,,,,,904-458-5160,,FL,
Brookdale Southside,Active,Active,"Assisted Living Facility, Indp. Living Facility, Mental Health / Cognitive Care Facilities",91,9601 Soutbrook Dr.,,Jacksonville,,7/7/2025,,," 9601 Soutbrook Dr.,   Jacksonville , FL  32256",9601 Soutbrook Dr.,,Jacksonville,FL,32256,,,904-877-5035,,FL,32256
Brooks Rehabilitation,Active,Active,Rehabilitation  / PT Facilites,29,3599 University Blvd.,South,Jacksonville,,11/18/2024,douglas.baer@brooksrehab.org,," 3599 University Blvd. ,  South,  Jacksonville, FL  32216",3599 University Blvd.,South,Jacksonville,FL,32216,,,904-345-7600,www.brooksrehab.org,FL,32216
Brooks Rehabilitation Home Health,Active,Active,Home Health Agency,126,6676 Corporate Center Parkway,suite 104,Jacksonville,,3/17/2026,,904-722-1517," 6676 Corporate Center Parkway,  suite 104,  Jacksonville, FL  32216",6676 Corporate Center Parkway,suite 104,Jacksonville,FL,32216,,,904-722-1515,,FL,32216
By Your Side Senior Care,Active,Active,Home Health Agency,141,1515 Business Center Dr,Ste 3,Fleming Island,,3/17/2026,,," 1515 Business Center Dr,  Ste 3,  Fleming Island, FL  32003",1515 Business Center Dr,Ste 3,Fleming Island,FL,32003,,,904-579-3059,,FL,32003
Camellia At Deerwood,Active,Active,"Assisted Living Facility, Indp. Living Facility, Mental Health / Cognitive Care Facilities",60,10061 Sweetwater Pkwy.,,Jacksonville,,6/10/2025,,," 10061 Sweetwater Pkwy.,   Jacksonville , FL  32256",10061 Sweetwater Pkwy.,,Jacksonville,FL,32256,,,904-519-1034,,FL,32256
Campus Towers,Active,Active,Retirement Facilities (CCRCs),15,1850 Kings Road,,Jacksonville,,11/13/2024,,," 1850 Kings Road,   Jacksonville, FL  32209",1850 Kings Road,,Jacksonville,FL,32209,,,904-354-7301,,FL,32209
Canopy Way Adult Day Care,Active,Active,Day Care Services,124,,,,,3/17/2026,,,,,,,,,,,,,,
Carriage Club,Active,Active,Retirement Facilities (CCRCs),9,9601 Southbrook Drive,,Jacksonville,,11/13/2024,,," 9601 Southbrook Drive,   Jacksonville, FL  32256",9601 Southbrook Drive,,Jacksonville,FL,32256,,,904-646-1600,,FL,32256
Cascades at World Golf Village,Active,Active,55+ Independent Living Communities,87,400 North Legacy Trail,,St. Augustine,,7/7/2025,cascadesadm@gmail.com,," 400 North Legacy Trail,   St. Augustine, FL  32092",400 North Legacy Trail,,St. Augustine,FL,32092,,,904-806-3313,,FL,32092
Cathedral Residences,Active,Active,"Indp. Living Facility, Retirement Facilities (CCRCs)",1,601 N. Newnan Street,,Jacksonville,,11/4/2024,,," 601 N. Newnan Street,   Jacksonville, FL  ",601 N. Newnan Street,,Jacksonville,FL,,,,904-798-5360,,FL,
Cecil Pines Adult Living Community,Active,Active,Indp. Living Facility,24,6008 Lake Cove Avenue,,Jacksonville,,11/13/2024,,," 6008 Lake Cove Avenue,   Jacksonville, FL  32221",6008 Lake Cove Avenue,,Jacksonville,FL,32221,,,904-771-8839,,FL,32221
Concierge Care,Active,Active,Home Health Agency,140,6817 Southpoint Parkway,suite 1003,jACKSONVILLE,,3/17/2026,,," 6817 Southpoint Parkway,  suite 1003,  jACKSONVILLE, FL  32216",6817 Southpoint Parkway,suite 1003,jACKSONVILLE,FL,32216,,,,,FL,32216
Council on Aging,Active,Active,Senior Advocacy Agencies,69,"351 Town Plaza Avenue, Suite 205",,Ponte Vedra Beach,,6/25/2025,,," 351 Town Plaza Avenue, Suite 205,   Ponte Vedra Beach, FL  32081","351 Town Plaza Avenue, Suite 205",,Ponte Vedra Beach,FL,32081,,904-814-9407,904-814-3234,,FL,32081
Cypress Bank & Trust,Active,Active,Trust / Estate Management Companies,68,1910 San Marco Blvd.,,Jacksonville,,6/25/2025,,," 1910 San Marco Blvd.,   Jacksonville, FL  32207",1910 San Marco Blvd.,,Jacksonville,FL,32207,,,904-301-2222,,FL,32207
Cypress Village,Active,Active,"Indp. Living Facility, Retirement Facilities (CCRCs)",2,"4600 Middleton Park Cir. E,",,Jacksonville,Sabah (Devyn) Bryant,11/13/2024,,," 4600 Middleton Park Cir. E,,   Jacksonville, FL  32224","4600 Middleton Park Cir. E,",,Jacksonville,FL,32224,,,904-507-4962,,FL,32224
Del Webb eTown,Active,Active,55+ Independent Living Communities,80,11246 Town View Dr.,,Jacksonville,,7/7/2025,,," 11246 Town View Dr.,   Jacksonville , FL  32256",11246 Town View Dr.,,Jacksonville,FL,32256,,,904-543-3959,,FL,32256
Del Webb Nocatee,Active,Active,55+ Independent Living Communities,84,73 Glenhurst Ave.,,Ponte Vedra Beach,,7/7/2025,,," 73 Glenhurst Ave.,   Ponte Vedra Beach, FL  32081",73 Glenhurst Ave.,,Ponte Vedra Beach,FL,32081,,,904-543-3927,,FL,32081
Del Webb Ponte Vedra,Active,Active,55+ Independent Living Communities,85,124 Del Webb Pkwy,,Ponte Vedra Beach,,7/7/2025,,," 124 Del Webb Pkwy,   Ponte Vedra Beach, FL  32081",124 Del Webb Pkwy,,Ponte Vedra Beach,FL,32081,,,904-543-3476,,FL,32081
Discovery Village At Deerwood,Active,Active,"Assisted Living Facility, Indp. Living Facility, Retirement Facilities (CCRCs), 55+ Independent Living Communities, Mental Health / Cognitive Care Facilities",61,10520 Validus Dr.,,Jacksonville,,6/10/2025,,," 10520 Validus Dr.,   Jacksonville, FL  32256",10520 Validus Dr.,,Jacksonville,FL,32256,,,904-800-7001,,FL,32256
ElderSource,Active,Active,Senior Advocacy Agencies,143,10688 Old St. Augustine Rd,,Jacksonville,,3/17/2026,,904-391-6610," 10688 Old St. Augustine Rd,   Jacksonville, FL  32257",10688 Old St. Augustine Rd,,Jacksonville,FL,32257,,904-391-6610,904-391-6600,,FL,32257
Emeritus At Mandarin,Active,Active,Retirement Facilities (CCRCs),21,10790 Saint Augustine Road,,Jacksonville,,11/13/2024,,," 10790 Saint Augustine Road,   Jacksonville, FL  32257",10790 Saint Augustine Road,,Jacksonville,FL,32257,,,904-260-0800,,FL,32257
Encompass Health Rehab Hospital,Active,Active,Rehabilitation  / PT Facilites,147,115985 Burnt Mill Road,,Jacksonville,,3/19/2026,,8336352415," 115985 Burnt Mill Road,   Jacksonville, FL  32256",115985 Burnt Mill Road,,Jacksonville,FL,32256,,,9045965000,,FL,32256
Everlake at Mandarin,Active,Active,55+ Independent Living Communities,82,4480 Sun Lily Ct.,,Jacksonville,,7/7/2025,,," 4480 Sun Lily Ct.,   Jacksonville, FL  32256",4480 Sun Lily Ct.,,Jacksonville,FL,32256,,,904-606-6616,,FL,32256
Fellowship Cove at Marsh Landing,Active,Active,"Assisted Living Facility, Mental Health / Cognitive Care Facilities",55,1700 The Greens Way,,Jacksonville Beach,,6/10/2025,life@thecoveatmarshlanding.com,," 1700 The Greens Way,   Jacksonville Beach , FL  32250",1700 The Greens Way,,Jacksonville Beach,FL,32250,,,904-372-1370,,FL,32250
Fisher Tousey Leas & Ball,Active,Active,Elder Care Law Firm,41,501 Riverside Avenue,Suite 700,Jacksonville,,12/16/2024,www.fishertousey.com,," 501 Riverside Avenue,  Suite 700,  Jacksonville, FL  32202",501 Riverside Avenue,Suite 700,Jacksonville,FL,32202,,,904-356-2600,,FL,32202
"Fisher, Tousey, Leas & Bell",Active,Active,Elder Care Law Firm,74,501 Riverside Ave. #700,,Jacksonville,,7/2/2025,,," 501 Riverside Ave. #700,   Jacksonville, FL  32202",501 Riverside Ave. #700,,Jacksonville,FL,32202,,,904-356-2600,,FL,32202
Flagler Health & Primary Care,Active,Active,Clinic,111,351 Town Plaza Ave,,Nocatee,,3/5/2026,,," 351 Town Plaza Ave,   Nocatee, FL  32081",351 Town Plaza Ave,,Nocatee,FL,32081,,,(904) 819-3233,,FL,32081
Fleet Landing,Active,Active,Retirement Facilities (CCRCs),3,One Fleet Landing,,Atlantic Beach,,11/13/2024,,," One Fleet Landing,   Atlantic Beach, FL  32233",One Fleet Landing,,Atlantic Beach,FL,32233,,,904-246-9900,,FL,32233
Florida Blue,Active,Active,Payers / Insurance Co's.,120,4800 Deerwood Campus Parkway,DC1-8,Jacksonville,,3/6/2026,,," 4800 Deerwood Campus Parkway,  DC1-8,  Jacksonville, FL  32246",4800 Deerwood Campus Parkway,DC1-8,Jacksonville,FL,32246,,,,,FL,32246
Florida Christian Apartments,Active,Active,Retirement Facilities (CCRCs),17,1115 Edgewood Avenue,,Jacksonville,,11/13/2024,,," 1115 Edgewood Avenue,   Jacksonville, FL  32205",1115 Edgewood Avenue,,Jacksonville,FL,32205,,,904-381-4800,,FL,32205
Fortress Wealth Planning,Active,Active,Wealth Management / Family Office Co's.,77,"814 Hwy. A1A N, Ste 202",,Ponte Vedra Beach,,7/2/2025,,," 814 Hwy. A1A N, Ste 202,   Ponte Vedra Beach , FL  32082","814 Hwy. A1A N, Ste 202",,Ponte Vedra Beach,FL,32082,,,904-301-4545,,FL,32082
Fountains at Mill Cove,Active,Active,"Assisted Living Facility, Indp. Living Facility, Mental Health / Cognitive Care Facilities",92,9960 Atrium Way,,Jacksonville,,7/7/2025,,," 9960 Atrium Way,   Jacksonville, FL  32225",9960 Atrium Way,,Jacksonville,FL,32225,,,904-724-4726,,FL,32225
Fouraker Hills,Active,Active,Rehabilitation  / PT Facilites,119,1650 Fouraker Rd,,Jacksonville,,3/5/2026,,9048319090,,,,,,,,,9047868665,,FL,32221
Freedom at Arbor Mill,Active,Active,55+ Independent Living Communities,81,3738 Baxter St.,,Jacksonville,,7/7/2025,freedom@thecamteam.com,904-638-1435," 3738 Baxter St.,   Jacksonville, FL  32222",3738 Baxter St.,,Jacksonville,FL,32222,,,904-278-2338,,FL,32222
Gonstead Chiropractic Clinic of Jax,Active,Active,Clinic,151,230 Canal Blvd,Suite 3,Ponte Vedra Beach,,3/19/2026,,," 230 Canal Blvd,  Suite 3,  Ponte Vedra Beach, FL  32082",230 Canal Blvd,Suite 3,Ponte Vedra Beach,FL,32082,,,9045947954,,FL,32082
Grand Living At Tamaya,Active,Active,"Assisted Living Facility, Indp. Living Facility, Retirement Facilities (CCRCs), Mental Health / Cognitive Care Facilities",65,3270 Tamaya Blvd.,,Jacksonville,,6/10/2025,,," 3270 Tamaya Blvd.,   Jacksonville , FL  32246",3270 Tamaya Blvd.,,Jacksonville,FL,32246,,,904-410-8500,,FL,32246
Grand Plans,Active,Active,Geriatric & Care Management Companies,154,,,Jacksonville,,3/22/2026,susannabarton@me.com,,,,,,,,,,904-610-2204,,FL,
Harbor Chase Mandarin,Active,Active,Assisted Living Facility,123,12350 San Jose Blvd,,Jacksonville,,3/12/2026,,," 12350 San Jose Blvd,   Jacksonville, FL  32224",12350 San Jose Blvd,,Jacksonville,FL,32224,,,,,FL,32224
Haven Hospice,Active,Active,Hospice Agency,132,9143 Phillips Highway,suite 480,Jacksonville,,3/17/2026,,," 9143 Phillips Highway,  suite 480,  Jacksonville, FL  32256",9143 Phillips Highway,suite 480,Jacksonville,FL,32256,,,,,FL,32256
Heal Precisely,Active,Active,Skilled Service Providers,136,5880 49th Street N,suite N-201,St. Petersburg,,3/17/2026,,727-213-6744," 5880 49th Street N,  suite N-201,  St. Petersburg, FL  33709",5880 49th Street N,suite N-201,St. Petersburg,FL,33709,,,727-300-0405,Wound Care Services,FL,33709
Holland & Knight LLP,Active,Active,Elder Care Law Firm,72,50 North Laura St. #3900,,Jacksonville,,7/2/2025,,," 50 North Laura St. #3900,   Jacksonville, FL  32202",50 North Laura St. #3900,,Jacksonville,FL,32202,,,904-353-2000,,FL,32202
Home Instead,Active,Active,Home Health Agency,116,9191 RG Skinner Parkway,801,Jacksonville,,3/5/2026,,,,,,,,,,,9048068588,,FL,32256
Home Well Care Services,Active,Active,Home Health Agency,139,450 South Orange Ave,suite 346,Orlando,,3/17/2026,,,"  450 South Orange Ave,  suite 346,  Orlando, FL  32081",450 South Orange Ave,suite 346,Orlando,FL,32081,,,,,FL,32081
Hurley Manor Apartments,Active,Active,Retirement Facilities (CCRCs),20,3333 University Blvd N.,,Jacksonville,,11/13/2024,,," 3333 University Blvd N.,   Jacksonville, FL  32277",3333 University Blvd N.,,Jacksonville,FL,32277,,,904-744-6022,,FL,32277
Ideal Move,Active,Active,Move Management / Organization Co's.,112,822 A1A N Suite 201,,Ponte Vedra Beach,,3/5/2026,,," 822 A1A N Suite 201,   Ponte Vedra Beach, FL  32082",822 A1A N Suite 201,,Ponte Vedra Beach,FL,32082,,,904-826-7055,,FL,32082
Jacksonville Orthopaedic Institute (JOI) Rehabilitation,Active,Active,Rehabilitation  / PT Facilites,32,1325 San Marco Blvd. #102,,Jacksonville,,11/18/2024,,," 1325 San Marco Blvd. #102,   Jacksonville, FL  32207",1325 San Marco Blvd. #102,,Jacksonville,FL,32207,,,904-858-7045,joi.net,FL,32207
Jacksonville Orthopedic Institute,Active,Active,Hospital,106,1577 roberts Dr,suite 225,,,3/5/2026,,,,,,,,,,,904-241-1204,,FL,32250
Jax Hope,Active,Active,Senior Advocacy Agencies,70,"5000 US HWY 17, S, Suite 18 #334",,Fleming Island,,6/25/2025,,," 5000 US HWY 17, S, Suite 18 #334,   Fleming Island , FL  32003","5000 US HWY 17, S, Suite 18 #334",,Fleming Island,FL,32003,,,,Parkinson's Education and Support Agency,FL,32003
JAX Housecalls,Active,Active,Skilled Service Providers,150,,,,,3/19/2026,,904-833-3437,,,,,,,,,904-439-0884,PA / NP Home Care,,
Jax Neuro Clinical Psychology Group,Active,Active,Skilled Service Providers,137,4500 Salisbury Rd,suite 420,Jacksonville,,3/17/2026,,,,,,,,,,,,"Specializing in the treatment of ADHD, Autism, Depression, Anxiety, Behavioral Challenges, Emotional Dysregulation",FL,32216
Legacy Trust Family Wealth Offices,Active,Active,Trust / Estate Management Companies,76,4200 Marsh Landing Blvd. #100,,Jacksonville Beach,,7/2/2025,,," 4200 Marsh Landing Blvd. #100,   Jacksonville Beach, FL  32266",4200 Marsh Landing Blvd. #100,,Jacksonville Beach,FL,32266,,,904-280-9100,,FL,32266
LH Care Management,Active,Active,Geriatric & Care Management Companies,138,,,,,3/17/2026,,,,,,,,,,,,,,
Mayo Clinic - Florida,Active,Active,Rehabilitation  / PT Facilites,35,4500 San Pablo Road,,Jacksonville,,11/18/2024,,," 4500 San Pablo Road,   Jacksonville, FL  32224",4500 San Pablo Road,,Jacksonville,FL,32224,,,904-953-2000,mayoclinic.org/jacksonville,FL,32224
Meekins Senior Shuttle,Active,Active,Transportation Service Co's.,127,,,,,3/17/2026,info@meekinsseniorshuttle.com,,,,,,,,,904-453-0885,904-345-0572,,,
Memory Treatment Centers,Active,Active,Mental Health / Cognitive Care Facilities,115,1680 The Greens Way,suite 200,Jacksonville Beach,,3/5/2026,,,,,,,,,,,9048007380,,FL,32250
Mobile Medical,Active,Active,Skilled Service Providers,105,4655 Salisbury Rd Ste 220,,Jacksonville,,3/5/2026,,," 4655 Salisbury Rd Ste 220,   Jacksonville, FL  32256",4655 Salisbury Rd Ste 220,,Jacksonville,FL,32256,,,904-570-9404,"Mobile Medical, a full-service in-home primary care practice, provides patients across Florida with exceptional healthcare in the comfort of their own homes or senior living communities. Their dedicated team of healthcare professionals goes above and beyond to prioritize patient convenience, comfort, and overall well-being, ensuring that personalized medical care is accessible where it matters most.",FL,32256
Northeast Florida Area Health Education Center (AHEC),Active,Active,Senior Advocacy Agencies,130,4811 Beach Blvd,suite 200,Jacksonville,,3/17/2026,,904-482-0196,,,,,,,,,904-482-0189,,FL,32207
Ortega Gardens,Active,Active,Mental Health / Cognitive Care Facilities,117,5760 Timuquana Rd,,Jacksonville,,3/5/2026,,,,,,,,,,,9047017227,,FL,32210
Osprey Village at Amelia Island LTD.,Active,Active,Retirement Facilities (CCRCs),18,76 Osprey Village,,Amelia Island,,11/13/2024,,," 76 Osprey Village,   Amelia Island, FL  32034",76 Osprey Village,,Amelia Island,FL,32034,,,904-277-8222,,FL,32034
Pablo Hamlet,Active,Active,Retirement Facilities (CCRCs),19,1600 Shetter Avenue,,Jacksonville Beach,,11/13/2024,,," 1600 Shetter Avenue,   Jacksonville Beach, FL  32250",1600 Shetter Avenue,,Jacksonville Beach,FL,32250,,,904-241-5207,,FL,32250
Pablo Towers,Active,Active,Retirement Facilities (CCRCs),12,115 3rd Street South,,Jacksonville Beach,,11/13/2024,,," 115 3rd Street South,   Jacksonville Beach, FL  32250",115 3rd Street South,,Jacksonville Beach,FL,32250,,,904-249-3866,,FL,32250
Paradigm Primary Care,Active,Active,Clinic,113,125 Land Grant Street,,St. Augustine,,3/5/2026,,,,,,,,,,,,,FL,32092
Paragon Wound Care,Active,Active,Skilled Service Providers,114,,,,,3/5/2026,,,,,,,,,,,,Mobile Wound Care Services,,
Parkland Preserve at World Golf Village,Active,Active,55+ Independent Living Communities,86,164 Eagles Landing Ln.,,St. Augustine,,7/7/2025,,," 164 Eagles Landing Ln.,   St. Augustine , FL  32095",164 Eagles Landing Ln.,,St. Augustine,FL,32095,,,,,FL,32095
Penney Retirement,Active,Active,Retirement Facilities (CCRCs),6,3495 Hoffman Street,,Penney Farms,,11/13/2024,,," P.O. BOX 555,   Penney Farms, FL  32079",P.O. BOX 555,,Penney Farms,FL,32079,,,904-284-8200,,FL,32079
Ponte Vedra Gardens,Active,Active,Assisted Living Facility,45,5125 Palm Valley Road,,Ponte Vedra Beach,,6/10/2025,pontevedra@gardensmemorycare.com,," 5125 Palm Valley Road,   Ponte Vedra Beach, FL  32082",5125 Palm Valley Road,,Ponte Vedra Beach,FL,32082,,,904-834-7578,,FL,32082
"Purcell, Flanagan & Hay",Active,Active,Elder Care Law Firm,100,1548 Lancaster Terrace,,Jacksonville,,7/18/2025,,904-355-0820," 1548 Lancaster Terrace,   Jacksonville, FL  32204",1548 Lancaster Terrace,,Jacksonville,FL,32204,,,904-355-0355,,FL,32204
Reunion Rehab,Active,Active,Rehabilitation  / PT Facilites,102,12645 Salina Dr,,Jacksonville,,3/3/2026,,," 12645 Salina Dr,   Jacksonville, FL  32246",12645 Salina Dr,,Jacksonville,FL,32246,,,904-787-8150,,FL,32246
Rezlegal LLC,Active,Active,Elder Care Law Firm,75,816 A1A North,,Ponte Vedra Beach,,7/2/2025,,," 816 A1A North ,   Ponte Vedra Beach , FL  32082",816 A1A North,,Ponte Vedra Beach,FL,32082,,,904-638-1085,,FL,32082
River Garden Hebrew Home For the Aged,Active,Active,Rehabilitation  / PT Facilites,36,11401 Old Saint Augustine Road,,Jacksonville,,11/18/2024,abrand@rivergarden.org,," 11401 Old Saint Augustine Road,   Jacksonville, FL  32258",11401 Old Saint Augustine Road,,Jacksonville,FL,32258,,,904-260-1818,rivergarden.org,FL,32258
Riverside Park Apartments,Active,Active,Retirement Facilities (CCRCs),25,750 Oak Street,,Jacksonville,,11/13/2024,,," 750 Oak Street,   Jacksonville, FL  32204",750 Oak Street,,Jacksonville,FL,32204,,,904-356-9884,,FL,32204
